id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
current_assets08,Prepaid Insurance,101060002,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets09,Prepaid Expenses,101060003,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets10,Employee Advances,101060004,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets11,Investments in subsidiaries,101060006,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets12,Table TAX - Tax Payable - 5.00%,101060007,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets13,Table TAX - Tax Payable - 8.00%,101060008,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets14,Table TAX - Tax Payable - 10.00%,101060009,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets15,VAT and Sales Tax - Tax Payable - 5.00%,101060011,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets16,VAT and Sales Tax - Tax Payable - Tax On Exports - 0%,101060012,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_assets17,VAT and Sales Tax - Tax Payable - Tax Exemption,101060013,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
account_withholding_tax,Withholding TAX,101060014,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
account_deferred_tax_assets,Deferred Tax Assets,101060015,account.data_account_type_current_assets,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_liabilities01,Notes payable EGP,110020001,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_liabilities02,Notes payable USD,110020002,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_liabilities03,Notes payable EUR,110020003,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
account_deduction_tax,Deduction TAX,110030001,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received01,Table TAX - Tax Received - 5.00%,110030004,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received02,Table TAX - Tax Received - 8.00%,110030005,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received03,Table TAX - Tax Received - 10.00%,110030006,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received05,VAT and Sales Tax - Tax Received - 5.00%,110030008,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received06,VAT and Sales Tax - Tax Received - Tax on Exports - 0%,110030009,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received07,VAT and Sales Tax - Tax Received - Tax Exemption,110030010,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received08,Payroll Tax-Unified Tax,110030011,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received09,Payable Income Tax,110030012,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_received10,Stamp Tax ,110030013,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
general_deduction_tax,General Deduction Tax Account,110030014,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
deferred_tax_liabilities,Deferred Tax Liabilities,110030015,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
tax_authority,Tax Authority,110030016,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_liabilities04,Due expenses,110040001,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_liabilities05,Customer Deposits,110040002,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
current_liabilities06,Reserve and Profit/Loss Account,110040003,account.data_account_type_current_liabilities,l10n_eg.l10n_eg_account_chart_template,,FALSE
capital01,Withdrawals,120000002,account.data_account_type_equity,l10n_eg.l10n_eg_account_chart_template,,FALSE
other_income01,Other revenue,200000002,account.data_account_type_other_income,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense01,Stationary Expenses,210000006,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense02,Transportation Expenses,210000007,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense03,Buffet Expenses,210000008,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense04,Electricity Expenses,210000010,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense05,Gas Expenses,210000011,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense06,Water Expenses,210000012,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense07,Maintenance Expenses,210000013,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense08,Landline Expenses,210000014,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense09,DSL & Internet Expenses,210000015,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense10,Hosting & Domain Expenses,210000016,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense11,Mobile Expenses,210000017,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense12,Travel & Visa Expenses,210000018,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense13,Mobinil Expenses,210000019,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense14,Medical Insurance,210000021,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense15,Social Insurance Expenses,210000022,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense16,Licenses Expenses,210000023,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense17,Meals & Entertainment Expenses,210000024,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense18,Bonuses & Commissions Expenses,210000025,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense19,Postage & Delivery Expenses,210000026,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense20,Legal and Professional Fees Expenses,210000027,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense21,Donations Expenses,210000028,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense22,Subscription Expenses,210000029,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense24,Other Fixed Asset Depreciation Expenses,211000001,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense25,Incorporation Fees Depreciation Expenses,211000002,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense26,Office Furniture & Fixtures Depreciation Expenses,211000003,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense27,Office Equipment & Computer software Depreciation Expenses,211000004,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense28,Air Conditioning Depreciation Expenses,211000005,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense29,Communication & Telecom Equipment Depreciation Expenses,211000006,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense30,Electrical Devices Depreciation Expenses,211000007,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
expense31,Improvement & Decorations Depreciation Expenses,211000008,account.data_account_type_depreciation,l10n_eg.l10n_eg_account_chart_template,,FALSE
account_deferred_taxes,Deferred Taxes,210000033,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
account_symbiotic_contribution,Symbiotic Contribution,210000034,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
account_income_tax,Income Tax,210000035,account.data_account_type_expenses,l10n_eg.l10n_eg_account_chart_template,,FALSE
